检验设定,系数,标准误,p值,下限,上限
基准模型,0.0949,0.0447,0.0337,0.0073,0.1824
稳健标准误(HC3),0.0949,0.0621,0.1264,-0.0268,0.2165
替换因变量:原始对数点赞,0.0963,0.0624,0.1231,-0.0261,0.2186
替换因变量:对数评论数,0.0025,0.0387,0.9493,-0.0734,0.0783
替换因变量:对数收藏数,0.1133,0.0631,0.0727,-0.0104,0.2369
剔除极端样本,0.0934,0.0618,0.1307,-0.0277,0.2146
替换情感度量:原始得分,0.0785,0.0608,0.1968,-0.0407,0.1978
替换情感度量:加情绪占比,0.0899,0.063,0.1537,-0.0336,0.2135
子样本:仅正向情绪,0.0724,0.0705,0.3043,-0.0657,0.2106
子样本:剔除营销话术,0.1156,0.0687,0.0922,-0.019,0.2502
子样本:剔除凌晨,0.0766,0.0623,0.2188,-0.0455,0.1988
